botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
1300201206, 100301, 003845,  125.3,  17.53,
1300201205, 100301, 003730,  149.4,  10.80,
1310201212, 102401, 004929,    5.0,  33.59,
1310201210, 102401, 004759,   25.3,  41.45,
1310201209, 102401, 004629,   44.3,  50.95,
1310201208, 102401, 004459,   75.0,  30.28,
1310201207, 102401, 004339,   99.4,  21.54,
1310201206, 102401, 004209,  125.2,  12.88,
1310201205, 102401, 004039,  154.3,   8.88,
1320201212, 111801, 004734,    4.8,  28.89,
1320201211, 111801, 004619,   24.6,  31.02,
1320201210, 111801, 004514,   44.6,  40.83,
1320201209, 111801, 004359,   75.3,  34.39,
1320201208, 111801, 004245,   99.3,  17.15,
1320201207, 111801, 004122,  123.8,   8.99,
1320201206, 111801, 003959,  149.8,   8.04,
1330200414, 121501, 150138,    4.5,  24.70,
1330200412, 121501, 145943,   24.8,  33.53,
1330200411, 121501, 145818,   44.7,  28.49,
1330200410, 121501, 145628,   75.2,  26.64,
1330200409, 121501, 145453,  100.0,  26.60,
1330200407, 121501, 145313,  125.2,  22.25,
1330200406, 121501, 145123,  149.9,  11.65,
1340201211, 011702, 004847,    4.0,  27.41,
1340201210, 011702, 004722,   24.5,  28.60,
1340201209, 011702, 004602,   45.6,  29.01,
1340201208, 011702, 004451,   74.3,  28.56,
1340201207, 011702, 004341,   99.7,  27.03,
1340201206, 011702, 004241,  125.5,  25.59,
1340201205, 011702, 004136,  149.6,  15.52,
1350201218, 022202, 005554,    4.0,  17.53,
1350201215, 022202, 005339,   23.3,  19.37,
1350201213, 022202, 005155,   44.5,  22.51,
1350201211, 022202, 004930,   73.9,  20.03,
1350201210, 022202, 004800,   99.9,  17.05,
1350201209, 022202, 004626,  124.4,  15.12,
1350201208, 022202, 004456,  149.4,   7.47,
1360201312, 031402, 004737,    4.2,  18.23,
1360201311, 031402, 004637,   24.4,  27.21,
1360201310, 031402, 004537,   44.9,  31.64,
1360201309, 031402, 004412,   73.7,  28.69,
1360201308, 031402, 004252,   99.5,  24.48,
1360201307, 031402, 004147,  123.7,  21.16,
1360201306, 031402, 004027,  150.1,  18.04,
1370201212, 052202, 005455,    4.6,  27.61,
1370201211, 052202, 005345,   24.8,  28.61,
1370201210, 052202, 005225,   44.6,  49.75,
1370201209, 052202, 005036,   74.7,  39.59,
1370201208, 052202, 004856,  100.1,  39.66,
1370201207, 052202, 004716,  123.9,  41.44,
1370201206, 052202, 004536,  149.0,  17.42,
1380200623, 063002, 040306,    4.2,  29.10,
1380200621, 063002, 040121,   24.2,  36.23,
1380200619, 063002, 035956,   44.1,  43.88,
1380200615, 063002, 035706,   76.5,  30.93,
1380200613, 063002, 035536,   98.3,  33.99,
1380200611, 063002, 035402,  124.3,  22.39,
1380200609, 063002, 035217,  148.9,  13.85,
1390201211, 082902, 020804,    5.1,  19.58,
1390201210, 082902, 020644,   25.1,  21.07,
1390201209, 082902, 020524,   45.3,  31.19,
1390201208, 082902, 020404,   73.3,  32.83,
1390201207, 082902, 020244,  100.1,  18.65,
1390201206, 082902, 020134,  123.4,  18.64,
1390201205, 082902, 020009,  149.5,   1.98,
1400201216, 100802, 010759,    6.5,  20.39,
1400201214, 100802, 010545,   25.9,  25.29,
1400201213, 100802, 010415,   44.2,  30.77,
1400201211, 100802, 010114,   99.7,  12.06,
1400201210, 100802, 005954,  124.4,   6.51,
1400201208, 100802, 005734,  152.2,   2.41,
1410201211, 110502, 005443,    4.9,  18.20,
1410201210, 110502, 005343,   24.7,  24.72,
1410201209, 110502, 005243,   45.1,  26.49,
1410201208, 110502, 005133,   74.4,  21.96,
1410201207, 110502, 005034,  100.7,  16.29,
1410201206, 110502, 004923,  125.2,   8.81,
1410201205, 110502, 004818,  150.1,   4.78,
1420201111, 112602, 012106,    3.7,  19.10,
1420201110, 112602, 011950,   24.7,  23.10,
1420201109, 112602, 011830,   44.9,  25.89,
1420201108, 112602, 011656,   75.0,  13.17,
1420201107, 112602, 011525,   99.9,   9.50,
1420201106, 112602, 011326,  122.6,   7.05,
1420201105, 112602, 011145,  148.6,   4.29,
1430201217, 122002, 041644,    5.5,  13.73,
1430201213, 122002, 041453,   25.1,  16.75,
1430201212, 122002, 041329,   47.7,  16.03,
1430201211, 122002, 041144,   74.9,  15.88,
1430201207, 122002, 040959,   98.1,  16.26,
1430201206, 122002, 040829,  124.6,   7.63,
1430201205, 122002, 040714,  151.7,   6.27,
1440201111, 011803, 013415,    3.0,  26.33,
1440201110, 011803, 013250,   25.0,  20.53,
1440201109, 011803, 013120,   44.0,  24.58,
1440201108, 011803, 012945,   74.7,  35.27,
1440201107, 011803, 012800,  100.2,  19.88,
1440201106, 011803, 012631,  124.5,  20.19,
1440201105, 011803, 012500,  149.0,   6.77,
1450201211, 022703, 005454,    4.3,  11.80,
1450201210, 022703, 005354,   24.7,  18.12,
1450201209, 022703, 005253,   43.5,  15.38,
1450201208, 022703, 005144,   73.7,  17.87,
1450201207, 022703, 005024,   99.2,  17.94,
1450201206, 022703, 004914,  124.9,  18.87,
1450201205, 022703, 004749,  148.7,   8.77,
1460201211, 033003, 012047,    8.8,  29.10,
1460201210, 033003, 011907,   24.0,  38.30,
1460201209, 033003, 011727,   45.0,  35.72,
1460201208, 033003, 011527,   74.6,  31.21,
1460201207, 033003, 011327,  100.9,  27.82,
1460201206, 033003, 011137,  125.8,  20.25,
1460201205, 033003, 010917,  151.3,  10.64,
1470201211, 042503, 010035,    4.6,  33.43,
1470201210, 042503, 005905,   24.8,  30.08,
1470201209, 042503, 005735,   44.5,  37.23,
1470201208, 042503, 005605,   74.1,  35.55,
1470201207, 042503, 005425,   98.7,  28.21,
1470201206, 042503, 005245,  129.7,  34.29,
1470201205, 042503, 005115,  147.9,  20.33,
1480201219, 052203, 005222,    4.0,  14.93,
1480201210, 052203, 004921,   25.6,  12.54,
1480201209, 052203, 004742,   43.7,  23.08,
1480201208, 052203, 004617,   74.9,  14.52,
1480201207, 052203, 004452,   99.3,  19.18,
1480201206, 052203, 004332,  125.7,  10.29,
1480201205, 052203, 004208,  149.4,   4.76,
1490201211, 062103, 005002,    4.5,  18.20,
1490201210, 062103, 004831,   25.1,  22.37,
1490201209, 062103, 004700,   45.4,  24.32,
1490201208, 062103, 004531,   74.9,  20.98,
1490201207, 062103, 004401,   99.6,  18.46,
1490201206, 062103, 004232,  124.9,  19.67,
1490201205, 062103, 004101,  149.7,  12.13,
1500201211, 072103, 004900,    4.5,  22.70,
1500201210, 072103, 004715,   24.5,  26.73,
1500201209, 072103, 004610,   45.8,  35.47,
1500201208, 072103, 004500,   74.1,  37.32,
1500201207, 072103, 004350,   99.9,  32.54,
1500201206, 072103, 004232,  126.2,  22.65,
1500201205, 072103, 004055,  150.2,  14.68,
1510201211, 082203, 011818,    4.9,  14.20,
1510201210, 082203, 011631,   25.1,  27.22,
1510201209, 082203, 011459,   44.7,  28.07,
1510201208, 082203, 011312,   75.6,  36.62,
1510201207, 082203, 011144,   99.6,  24.76,
1510201206, 082203, 011019,  123.8,  20.54,
1510201205, 082203, 010839,  149.9,  11.16,
1520201215, 101603, 012553,    5.5,  29.46,
1520201213, 101603, 012419,   24.9,  34.49,
1520201212, 101603, 012253,   43.9,  31.67,
1520201210, 101603, 012118,   74.9,  37.77,
1520201209, 101603, 012000,   99.2,  22.19,
1520201207, 101603, 011806,  125.3,  14.26,
1520201206, 101603, 011634,  150.5,   9.33,
1530201211, 111103, 012438,    8.5,  15.94,
1530201210, 111103, 012153,   25.7,  23.48,
1530201209, 111103, 012033,   46.5,  20.07,
1530201208, 111103, 011853,   75.4,  27.40,
1530201207, 111103, 011638,  102.1,  12.71,
1530201206, 111103, 011448,  125.7,   9.54,
1530201205, 111103, 011323,  150.6,   4.41,
1540201116, 122103, 023118,    8.2,  31.80,
1540201114, 122103, 022507,   24.5,  30.68,
1540201112, 122103, 022324,   43.4,  30.67,
1540201110, 122103, 022112,   74.1,  31.95,
1540201108, 122103, 021908,   99.2,  36.17,
1540201106, 122103, 021708,  122.9,  12.33,
1540201105, 122103, 021543,  149.1,   7.52,
1550201211, 012304, 012522,    4.9,  34.90,
1550201210, 012304, 012357,   24.1,  35.37,
1550201209, 012304, 012252,   44.0,  29.90,
1550201208, 012304, 012137,   75.6,  33.80,
1550201207, 012304, 012012,   99.3,  22.09,
1550201206, 012304, 011902,  123.9,  12.65,
1550201205, 012304, 011737,  147.9,   9.00,
1560201211, 022604, 005545,    4.8,  24.52,
1560201210, 022604, 005443,   23.6,  20.45,
1560201209, 022604, 005313,   43.8,  19.52,
1560201208, 022604, 005208,   74.2,  19.16,
1560201207, 022604, 005058,   98.1,  16.82,
1560201206, 022604, 004948,  124.0,  12.42,
1560201205, 022604, 004848,  149.0,   5.45,
1570201211, 032104, 012346,    8.5,  34.98,
1570201210, 032104, 012144,   24.3,  25.46,
1570201209, 032104, 012030,   46.2,  32.13,
1570201208, 032104, 011854,   69.8,  24.40,
1570201207, 032104, 011530,   99.8,  31.85,
1570201206, 032104, 011410,  122.6,  27.99,
1570201205, 032104, 011250,  148.6,  10.93,
1580201211, 042204, 005645,    4.0,  19.57,
1580201210, 042204, 005511,   24.3,  26.35,
1580201209, 042204, 005330,   45.3,  25.19,
1580201208, 042204, 005144,   74.5,  30.86,
1580201207, 042204, 005005,   98.8,  25.34,
1580201206, 042204, 004810,  124.4,  17.08,
1580201205, 042204, 004624,  149.3,  13.61,
1590201211, 052004, 005029,    4.2,  15.57,
1590201210, 052004, 004849,   24.1,  23.93,
1590201209, 052004, 004724,   44.4,  26.69,
1590201208, 052004, 004525,   74.2,  24.65,
1590201207, 052004, 004359,   99.3,  23.22,
1590201206, 052004, 004214,  124.5,  14.01,
1590201205, 052004, 004049,  149.7,   9.73,
1600201311, 061704, 004630,    3.6,  21.79,
1600201310, 061704, 004527,   23.9,  26.61,
1600201309, 061704, 004423,   43.2,  26.77,
1600201308, 061704, 004312,   73.8,  24.11,
1600201307, 061704, 004205,   99.3,  17.28,
1600201306, 061704, 004104,  124.0,  12.86,
1600201305, 061704, 003916,  149.2,   7.74,
1610200424, 071404, 015243,    4.9,  24.34,
1610200421, 071404, 015054,   24.8,  20.72,
1610200416, 071404, 014824,   42.7,  33.69,
1610200415, 071404, 014703,   74.8,  27.58,
