botid, date, time, press, ph, 
#, mmddyy, hhmmss, dbar,  , 
0840200607, 060497, 064505,  159.4,  8.007,
0840200606, 060497, 064407,  175.0,  8.000,
0840200605, 060497, 064311,  184.9,  7.993,
0840200604, 060497, 064157,  199.9,  7.970,
0850200622, 070997, 070701,    5.1,  8.098,
0850200621, 070997, 070541,   14.8,  8.099,
0850200619, 070997, 070421,   24.4,  8.099,
0850200618, 070997, 070305,   35.8,  8.098,
0850200617, 070997, 070151,   45.3,  8.098,
0850200616, 070997, 070033,   59.4,  8.097,
0850200615, 070997, 065909,   75.3,  8.092,
0850200614, 070997, 065805,   84.0,  8.092,
0850200613, 070997, 065651,   94.3,  8.088,
0850200612, 070997, 065531,  104.3,  8.080,
0850200611, 070997, 065425,  115.0,  8.066,
0850200610, 070997, 065317,  124.3,  8.046,
0850200609, 070997, 065203,  134.5,  8.040,
0850200608, 070997, 065037,  150.1,  8.032,
0850200607, 070997, 064917,  158.8,  8.017,
0850200606, 070997, 064741,  174.2,  8.001,
0850200605, 070997, 064619,  183.8,  7.992,
