botid, date, time, press, ebact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0500201411, 103093, 091254,  115.6,  0.015,
0500201410, 103093, 091128,  119.7,  0.014,
0500201409, 103093, 091009,  125.6,  0.015,
0500201408, 103093, 090837,  137.1,  0.005,
0500201407, 103093, 090700,  151.7,  0.001,
0500201406, 103093, 090507,  175.1,  0.000,
0510201317, 012194, 134205,    7.1,  0.009,
0510201315, 012194, 134004,   27.0,  0.008,
0510201314, 012194, 133847,   46.3,  0.008,
0510201312, 012194, 133607,   75.0,  0.008,
0510201311, 012194, 133448,   89.6,  0.007,
0510201310, 012194, 133335,  100.1,  0.005,
0510201309, 012194, 133208,  116.0,  0.009,
0510201308, 012194, 133058,  126.1,  0.006,
0510201307, 012194, 132951,  135.3,  0.004,
0510201306, 012194, 132820,  148.8,  0.002,
0510201305, 012194, 132635,  173.7,  0.001,
0520201316, 021894, 084037,    6.3,  0.010,
0520201315, 021894, 083907,   25.8,  0.010,
0520201314, 021894, 083738,   44.2,  0.011,
0520201313, 021894, 083603,   60.5,  0.011,
0520201312, 021894, 083438,   77.5,  0.013,
0520201311, 021894, 083342,   86.1,  0.005,
0520201310, 021894, 083222,  102.1,  0.006,
0520201309, 021894, 083058,  126.4,  0.007,
0520201308, 021894, 082956,  135.6,  0.007,
0520201307, 021894, 082843,  149.8,  0.006,
0520201306, 021894, 082712,  174.0,  0.005,
0520201305, 021894, 082526,  191.9,  0.002,
0530201516, 031094, 085819,    4.5,  0.004,
0530201515, 031094, 085707,   24.4,  0.004,
0530201514, 031094, 085604,   44.5,  0.005,
0530201513, 031094, 085457,   74.7,  0.007,
0530201512, 031094, 085345,   99.4,  0.009,
0530201511, 031094, 085213,  124.6,  0.009,
0530201510, 031094, 085103,  141.0,  0.012,
0530201509, 031094, 085009,  145.1,  0.012,
0530201508, 031094, 084919,  150.0,  0.008,
0530201507, 031094, 084827,  154.6,  0.013,
0530201506, 031094, 084732,  160.5,  0.011,
0530201505, 031094, 084637,  176.1,  0.002,
0540200415, 061894, 203509,    5.1,  0.001,
0540200414, 061894, 203329,   24.0,  0.002,
0540200413, 061894, 203143,   44.4,  0.002,
0540200412, 061894, 202924,   74.9,  0.003,
0540200411, 061894, 202719,   98.7,  0.001,
0540200410, 061894, 202711,   98.7,  0.004,
0540200409, 061894, 202510,  126.0,  0.008,
0540200408, 061894, 202329,  140.4,  0.016,
0540200407, 061894, 202156,  150.0,  0.016,
0540200406, 061894, 202004,  160.3,  0.009,
0540200405, 061894, 201825,  175.1,  0.005,
0550201312, 072694, 121000,    5.2,  0.014,
0550201311, 072694, 120824,   24.9,  0.016,
0550201310, 072694, 120645,   43.6,  0.013,
0550201309, 072694, 120516,   74.6,  0.004,
0550201308, 072694, 120326,  100.6,  0.006,
0550201307, 072694, 120156,  109.9,  0.005,
0550201306, 072694, 120028,  123.8,  0.002,
0550201305, 072694, 115806,  150.5,  0.002,
0550201304, 072694, 115602,  173.7,  0.001,
0560201424, 083194, 101551,    5.1,  0.005,
0560201423, 083194, 101438,    9.9,  0.004,
0560201422, 083194, 101311,   25.4,  0.004,
0560201421, 083194, 101144,   34.5,  0.005,
0560201420, 083194, 101014,   45.0,  0.005,
0560201419, 083194, 100843,   59.8,  0.036,
0560201418, 083194, 100705,   74.4,  0.008,
0560201416, 083194, 100402,  100.2,  0.006,
0560201412, 083194, 095853,  149.6,  0.001,
0560201411, 083194, 095718,  165.6,  0.001,
0560201410, 083194, 095608,  174.8,  0.003,
0570201216, 092494, 080853,    5.7,  0.002,
0570201214, 092494, 080720,   25.5,  0.002,
0570201213, 092494, 080536,   45.7,  0.001,
0570201212, 092494, 080321,   75.6,  0.004,
0570201211, 092494, 080221,   85.3,  0.002,
0570201210, 092494, 080122,   95.3,  0.006,
0570201209, 092494, 080027,  100.5,  0.013,
0570201208, 092494, 075932,  111.7,  0.025,
0570201207, 092494, 075818,  126.1,  0.009,
0570201206, 092494, 075703,  150.9,  0.005,
0570201205, 092494, 075551,  174.6,  0.001,
0580201512, 101694, 111329,    5.0,  0.015,
0580201511, 101694, 111154,   24.5,  0.012,
0580201510, 101694, 111020,   45.6,  0.014,
0580201509, 101694, 110829,   75.5,  0.015,
0580201508, 101694, 110651,  101.2,  0.007,
0580201507, 101694, 110512,  125.8,  0.001,
0580201506, 101694, 110329,  151.7,  0.001,
0580201505, 101694, 110137,  177.8,  0.000,
0590200615, 112094, 104440,    5.6,  0.002,
0590200614, 112094, 104245,   26.1,  0.002,
0590200613, 112094, 104124,   45.9,  0.002,
0590200612, 112094, 103940,   76.1,  0.004,
0590200611, 112094, 103831,   90.1,  0.006,
0590200610, 112094, 103728,   99.4,  0.009,
0590200609, 112094, 103625,  109.9,  0.007,
0590200608, 112094, 103511,  128.6,  0.004,
0590200607, 112094, 103245,  149.4,  0.001,
0590200606, 112094, 103116,  175.9,  0.000,
0600200616, 020795, 091418,    5.6,  0.003,
0600200614, 020795, 091236,   24.5,  0.003,
0600200613, 020795, 091056,   44.8,  0.003,
0600200612, 020795, 090835,   75.7,  0.002,
0600200611, 020795, 090629,  101.2,  0.006,
0600200610, 020795, 090507,  114.2,  0.009,
0600200609, 020795, 090353,  123.9,  0.009,
0600200608, 020795, 090257,  134.3,  0.010,
0600200607, 020795, 090202,  140.8,  0.009,
0600200606, 020795, 090059,  150.9,  0.005,
0600200605, 020795, 085929,  174.6,  0.002,
0610201312, 030595, 114219,    4.8,  0.012,
0610201311, 030595, 114027,   25.4,  0.013,
0610201310, 030595, 113845,   44.8,  0.015,
0610201309, 030595, 113709,   74.5,  0.023,
0610201308, 030595, 113520,  100.8,  0.014,
0610201307, 030595, 113314,  124.3,  0.003,
0610201306, 030595, 113126,  150.6,  0.001,
0610201305, 030595, 112911,  174.0,  0.000,
0620201415, 040795, 100406,    4.7,  0.010,
0620201414, 040795, 100230,   24.5,  0.009,
0620201413, 040795, 100055,   44.4,  0.009,
0620201412, 040795, 095858,   74.2,  0.007,
0620201411, 040795, 095719,  100.6,  0.004,
0620201410, 040795, 095440,  125.8,  0.008,
0620201409, 040795, 095327,  134.3,  0.011,
0620201408, 040795, 095221,  137.5,  0.007,
0620201407, 040795, 095049,  145.4,  0.006,
0620201406, 040795, 094950,  149.5,  0.006,
0620201405, 040795, 094753,  174.6,  0.004,
0630201317, 050895, 091727,    4.9,  0.000,
0630201315, 050895, 091548,   24.5,  0.000,
0630201314, 050895, 091400,   45.2,  0.001,
0630201313, 050895, 091227,   75.0,  0.001,
0630201312, 050895, 091102,   99.4,  0.001,
0630201311, 050895, 091006,  110.0,  0.002,
0630201310, 050895, 090918,  115.2,  0.004,
0630201309, 050895, 090824,  120.1,  0.007,
0630201308, 050895, 090729,  125.0,  0.025,
0630201307, 050895, 090554,  150.6,  0.006,
0630201306, 050895, 090427,  175.7,  0.002,
0640201518, 073195, 180223,    4.3,  0.003,
0640201516, 073195, 180048,   25.0,  0.003,
0640201514, 073195, 175858,   39.9,  0.006,
0640201513, 073195, 175709,   59.6,  0.013,
0640201512, 073195, 175502,   79.1,  0.030,
0640201510, 073195, 175319,   89.9,  0.009,
0640201508, 073195, 175116,   99.4,  0.002,
0640201506, 073195, 174911,  150.1,  0.004,
0650210008, 082995, -00009,    5.0,  0.004,
0650210007, 082995, -00009,   25.0,  0.002,
0650210006, 082995, -00009,   45.0,  0.005,
0650210004, 082995, -00009,  100.0,  0.013,
0650210003, 082995, -00009,  125.0,  0.007,
0650210002, 082995, -00009,  150.0,  0.000,
0660201418, 092895, 100216,    4.9,  0.005,
0660201417, 092895, 100058,   16.0,  0.006,
0660201416, 092895, 100010,   24.8,  0.004,
0660201415, 092895, 095904,   34.9,  0.005,
0660201414, 092895, 095806,   44.2,  0.004,
0660201413, 092895, 095714,   54.7,  0.005,
0660201412, 092895, 095624,   64.5,  0.006,
0660201411, 092895, 095526,   74.6,  0.011,
0660201410, 092895, 095416,   94.1,  0.013,
0660201409, 092895, 095332,   99.3,  0.009,
0660201408, 092895, 095232,  110.7,  0.012,
0660201407, 092895, 095125,  124.9,  0.004,
0660201406, 092895, 095009,  149.7,  0.001,
0660201405, 092895, 094839,  174.3,  0.001,
0670210008, 102795, -00009,    5.0,  0.004,
0670210007, 102795, -00009,   25.0,  0.006,
0670210006, 102795, -00009,   45.0,  0.003,
0670210005, 102795, -00009,   75.0,  0.008,
0670210004, 102795, -00009,  100.0,  0.015,
0670210003, 102795, -00009,  125.0,  0.006,
0670210002, 102795, -00009,  150.0,  0.001,
0670210001, 102795, -00009,  175.0,  0.001,
0680210008, 111795, -00009,    5.0,  0.007,
0680210007, 111795, -00009,   25.0,  0.006,
0680210006, 111795, -00009,   45.0,  0.008,
0680210005, 111795, -00009,   75.0,  0.010,
0680210004, 111795, -00009,  100.0,  0.027,
0680210003, 111795, -00009,  125.0,  0.003,
0680210002, 111795, -00009,  150.0,  0.001,
0690210008, 011796, -00009,    5.0,  0.009,
0690210007, 011796, -00009,   25.0,  0.010,
0690210006, 011796, -00009,   45.0,  0.009,
0690210005, 011796, -00009,   75.0,  0.010,
0690210004, 011796, -00009,  100.0,  0.011,
0690210003, 011796, -00009,  125.0,  0.001,
0690210002, 011796, -00009,  150.0,  0.001,
0700210008, 032796, -00009,    5.0,  0.014,
0700210007, 032796, -00009,   25.0,  0.004,
0700210006, 032796, -00009,   45.0,  0.005,
0700210005, 032796, -00009,   75.0,  0.007,
0700210004, 032796, -00009,  100.0,  0.002,
0700210003, 032796, -00009,  125.0,  0.002,
0700210001, 032796, -00009,  175.0,  0.000,
0710210008, 042496, -00009,    5.0,  0.010,
0710210007, 042496, -00009,   25.0,  0.009,
0710210006, 042496, -00009,   45.0,  0.008,
0710210005, 042496, -00009,   75.0,  0.008,
0710210004, 042496, -00009,  100.0,  0.003,
0710210003, 042496, -00009,  125.0,  0.012,
0720210008, 052296, -00009,    5.0,  0.012,
0720210007, 052296, -00009,   25.0,  0.013,
0720210006, 052296, -00009,   45.0,  0.015,
0720210005, 052296, -00009,   75.0,  0.014,
0720210004, 052296, -00009,  100.0,  0.008,
0720210003, 052296, -00009,  125.0,  0.005,
0720210002, 052296, -00009,  150.0,  0.003,
0730210008, 062696, -00009,    5.0,  0.012,
0730210007, 062696, -00009,   25.0,  0.010,
0730210006, 062696, -00009,   45.0,  0.008,
0730210005, 062696, -00009,   75.0,  0.013,
0730210004, 062696, -00009,  100.0,  0.008,
0730210003, 062696, -00009,  125.0,  0.001,
0730210002, 062696, -00009,  150.0,  0.008,
0740210008, 072796, -00009,    5.0,  0.014,
0740210007, 072796, -00009,   25.0,  0.012,
0740210006, 072796, -00009,   45.0,  0.015,
0740210005, 072796, -00009,   75.0,  0.014,
0740210004, 072796, -00009,  100.0,  0.008,
0740210003, 072796, -00009,  125.0,  0.003,
0740210002, 072796, -00009,  150.0,  0.003,
0750210008, 082196, -00009,    5.0,  0.002,
0750210007, 082196, -00009,   25.0,  0.004,
0750210006, 082196, -00009,   45.0,  0.002,
0750210005, 082196, -00009,   75.0,  0.002,
0750210004, 082196, -00009,  100.0,  0.010,
0750210003, 082196, -00009,  125.0,  0.018,
0750210002, 082196, -00009,  150.0,  0.004,
0750210001, 082196, -00009,  175.0,  0.002,
0760210008, 100296, -00009,    5.0,  0.001,
0760210007, 100296, -00009,   25.0,  0.003,
0760210006, 100296, -00009,   45.0,  0.003,
0760210005, 100296, -00009,   75.0,  0.002,
0760210003, 100296, -00009,  125.0,  0.001,
0760210002, 100296, -00009,  150.0,  0.001,
0770210008, 103096, -00009,    5.0,  0.005,
0770210007, 103096, -00009,   25.0,  0.005,
0770210006, 103096, -00009,   45.0,  0.004,
0770210005, 103096, -00009,   75.0,  0.008,
0770210004, 103096, -00009,  100.0,  0.013,
0770210003, 103096, -00009,  125.0,  0.010,
0770210002, 103096, -00009,  150.0,  0.003,
0770210001, 103096, -00009,  175.0,  0.001,
0780210008, 121196, -00009,    5.0,  0.013,
0780210007, 121196, -00009,   25.0,  0.011,
0780210006, 121196, -00009,   45.0,  0.014,
0780210005, 121196, -00009,   75.0,  0.008,
0780210004, 121196, -00009,  100.0,  0.013,
0780210003, 121196, -00009,  125.0,  0.008,
0780210002, 121196, -00009,  150.0,  0.003,
0790210008, 010897, -00009,    5.0,  0.018,
0790210007, 010897, -00009,   25.0,  0.017,
0790210006, 010897, -00009,   45.0,  0.026,
0790210005, 010897, -00009,   75.0,  0.041,
0790210004, 010897, -00009,  100.0,  0.019,
0790210003, 010897, -00009,  125.0,  0.010,
0790210002, 010897, -00009,  150.0,  0.006,
0790210001, 010897, -00009,  175.0,  0.002,
0800210008, 021897, -00009,    5.0,  0.008,
0800210007, 021897, -00009,   25.0,  0.008,
0800210006, 021897, -00009,   45.0,  0.008,
0800210005, 021897, -00009,   75.0,  0.007,
0800210004, 021897, -00009,  100.0,  0.018,
0800210003, 021897, -00009,  125.0,  0.014,
0800210001, 021897, -00009,  175.0,  0.004,
0810210008, 031297, -00009,    5.0,  0.038,
0810210007, 031297, -00009,   25.0,  0.039,
0810210006, 031297, -00009,   45.0,  0.037,
0810210005, 031297, -00009,   75.0,  0.012,
0810210004, 031297, -00009,  100.0,  0.031,
0810210003, 031297, -00009,  125.0,  0.005,
0810210002, 031297, -00009,  150.0,  0.003,
0820210008, 040997, -00009,    5.0,  0.012,
0820210007, 040997, -00009,   25.0,  0.015,
0820210006, 040997, -00009,   45.0,  0.026,
0820210005, 040997, -00009,   75.0,  0.018,
0820210004, 040997, -00009,  100.0,  0.014,
0820210003, 040997, -00009,  125.0,  0.002,
0820210002, 040997, -00009,  150.0,  0.000,
0820210001, 040997, -00009,  175.0,  0.001,
0830210008, 050797, -00009,    5.0,  0.009,
0830210007, 050797, -00009,   25.0,  0.009,
0830210006, 050797, -00009,   45.0,  0.006,
0830210005, 050797, -00009,   75.0,  0.006,
0830210004, 050797, -00009,  100.0,  0.012,
0830210003, 050797, -00009,  125.0,  0.013,
0830210002, 050797, -00009,  150.0,  0.003,
0830210001, 050797, -00009,  175.0,  0.001,
0840210008, 060497, -00009,    5.0,  0.004,
0840210007, 060497, -00009,   25.0,  0.009,
0840210006, 060497, -00009,   45.0,  0.011,
0840210005, 060497, -00009,   75.0,  0.012,
0840210004, 060497, -00009,  100.0,  0.012,
0840210003, 060497, -00009,  125.0,  0.020,
0840210002, 060497, -00009,  150.0,  0.006,
0840210001, 060497, -00009,  175.0,  0.000,
0850210008, 070997, -00009,    5.0,  0.008,
0850210007, 070997, -00009,   25.0,  0.006,
0850210006, 070997, -00009,   45.0,  0.003,
0850210005, 070997, -00009,   75.0,  0.008,
0850210004, 070997, -00009,  100.0,  0.009,
0850210003, 070997, -00009,  125.0,  0.010,
0850210002, 070997, -00009,  150.0,  0.003,
0860210008, 080297, -00009,    5.0,  0.011,
0860210007, 080297, -00009,   25.0,  0.001,
0860210006, 080297, -00009,   45.0,  0.010,
0860210005, 080297, -00009,   75.0,  0.011,
0860210004, 080297, -00009,  100.0,  0.012,
0860210003, 080297, -00009,  125.0,  0.013,
0860210002, 080297, -00009,  150.0,  0.008,
0860210001, 080297, -00009,  175.0,  0.003,
0870210008, 092597, -00009,    5.0,  0.007,
0870210007, 092597, -00009,   25.0,  0.007,
0870210006, 092597, -00009,   45.0,  0.008,
0870210005, 092597, -00009,   75.0,  0.010,
0870210004, 092597, -00009,  100.0,  0.008,
0870210003, 092597, -00009,  125.0,  0.016,
0870210002, 092597, -00009,  150.0,  0.007,
0890210008, 011198, -00009,    5.0,  0.008,
0890210007, 011198, -00009,   25.0,  0.012,
0890210006, 011198, -00009,   45.0,  0.011,
0890210005, 011198, -00009,   75.0,  0.005,
0890210004, 011198, -00009,  100.0,  0.011,
0890210003, 011198, -00009,  125.0,  0.007,
0890210002, 011198, -00009,  150.0,  0.001,
0890210001, 011198, -00009,  175.0,  0.002,
0900210008, 021998, -00009,    5.0,  0.011,
0900210007, 021998, -00009,   25.0,  0.011,
0900210006, 021998, -00009,   45.0,  0.009,
0900210005, 021998, -00009,   75.0,  0.011,
0900210004, 021998, -00009,  100.0,  0.024,
0900210003, 021998, -00009,  125.0,  0.006,
0910210008, 031898, -00009,    5.0,  0.005,
0910210007, 031898, -00009,   25.0,  0.009,
0910210006, 031898, -00009,   45.0,  0.009,
0910210005, 031898, -00009,   75.0,  0.012,
0910210004, 031898, -00009,  100.0,  0.024,
0910210003, 031898, -00009,  125.0,  0.018,
0910210002, 031898, -00009,  150.0,  0.012,
0910210001, 031898, -00009,  175.0,  0.008,
0920210008, 041598, -00009,    5.0,  0.011,
0920210007, 041598, -00009,   25.0,  0.005,
0920210006, 041598, -00009,   45.0,  0.006,
0920210005, 041598, -00009,   75.0,  0.008,
0920210004, 041598, -00009,  100.0,  0.023,
0920210003, 041598, -00009,  125.0,  0.013,
0920210002, 041598, -00009,  150.0,  0.004,
0930210008, 051398, -00009,    5.0,  0.006,
0930210007, 051398, -00009,   25.0,  0.007,
0930210006, 051398, -00009,   45.0,  0.005,
0930210005, 051398, -00009,   75.0,  0.004,
0930210004, 051398, -00009,  100.0,  0.001,
0930210003, 051398, -00009,  125.0,  0.007,
0930210002, 051398, -00009,  150.0,  0.003,
0930210001, 051398, -00009,  175.0,  0.002,
0940210008, 061798, -00009,    5.0,  0.007,
0940210007, 061798, -00009,   25.0,  0.007,
0940210006, 061798, -00009,   45.0,  0.009,
0940210005, 061798, -00009,   75.0,  0.005,
0940210004, 061798, -00009,  100.0,  0.004,
0940210003, 061798, -00009,  125.0,  0.009,
0940210002, 061798, -00009,  150.0,  0.002,
0940210001, 061798, -00009,  175.0,  0.001,
0950210008, 071598, -00009,    5.0,  0.012,
0950210007, 071598, -00009,   25.0,  0.012,
0950210006, 071598, -00009,   45.0,  0.012,
0950210005, 071598, -00009,   75.0,  0.006,
0950210004, 071598, -00009,  100.0,  0.006,
0950210003, 071598, -00009,  125.0,  0.007,
0950210002, 071598, -00009,  150.0,  0.002,
0950210001, 071598, -00009,  175.0,  0.001,
0960210008, 081098, -00009,    5.0,  0.004,
0960210007, 081098, -00009,   25.0,  0.004,
0960210006, 081098, -00009,   45.0,  0.004,
0960210005, 081098, -00009,   75.0,  0.004,
0960210004, 081098, -00009,  100.0,  0.014,
0960210003, 081098, -00009,  125.0,  0.009,
0960210002, 081098, -00009,  150.0,  0.003,
0960210001, 081098, -00009,  175.0,  0.005,
0970210008, 092898, -00009,    5.0,  0.003,
0970210007, 092898, -00009,   25.0,  0.004,
0970210006, 092898, -00009,   45.0,  0.004,
0970210005, 092898, -00009,   75.0,  0.004,
0970210004, 092898, -00009,  100.0,  0.004,
0970210003, 092898, -00009,  125.0,  0.015,
0970210002, 092898, -00009,  150.0,  0.002,
0970210001, 092898, -00009,  175.0,  0.002,
0980200712, 101998, 105751,    5.7,  0.026,
0980200711, 101998, 105634,   25.1,  0.011,
0980200710, 101998, 105522,   45.5,  0.016,
0980200709, 101998, 105351,   75.4,  0.018,
0980200708, 101998, 105231,  100.3,  0.040,
0980200707, 101998, 105121,  125.4,  0.023,
0980200706, 101998, 105003,  150.0,  0.024,
0980200705, 101998, 104730,  175.3,  0.008,
0980210008, 101998, -00009,    5.0,  0.002,
0980210007, 101998, -00009,   25.0,  0.003,
0980210006, 101998, -00009,   45.0,  0.003,
0980210005, 101998, -00009,   75.0,  0.002,
0980210004, 101998, -00009,  100.0,  0.006,
0980210003, 101998, -00009,  125.0,  0.010,
0980210002, 101998, -00009,  150.0,  0.006,
0980210001, 101998, -00009,  175.0,  0.003,
0990200810, 111198, 125241,    5.0,  0.007,
0990200809, 111198, 125045,   24.6,  0.021,
0990200808, 111198, 124930,   43.9,  0.009,
0990200807, 111198, 124745,   75.2,  0.006,
0990200806, 111198, 124615,  100.2,  0.035,
0990200805, 111198, 124448,  125.1,  0.008,
0990200804, 111198, 124320,  149.7,  0.005,
0990210008, 111198, -00009,    5.0,  0.001,
0990210007, 111198, -00009,   25.0,  0.001,
0990210006, 111198, -00009,   45.0,  0.002,
0990210005, 111198, -00009,   75.0,  0.003,
0990210004, 111198, -00009,  100.0,  0.016,
0990210003, 111198, -00009,  125.0,  0.004,
0990210002, 111198, -00009,  150.0,  0.001,
1000210008, 120998, -00009,    5.0,  0.004,
1000210007, 120998, -00009,   25.0,  0.005,
1000210006, 120998, -00009,   45.0,  0.006,
1000210005, 120998, -00009,   75.0,  0.003,
1000210004, 120998, -00009,  100.0,  0.008,
1000210003, 120998, -00009,  125.0,  0.008,
1010200721, 011399, 130114,    4.4,  0.013,
1010200720, 011399, 125947,   25.7,  0.016,
1010200718, 011399, 125757,   46.2,  0.016,
1010200716, 011399, 125547,   75.9,  0.019,
1010200714, 011399, 125407,  100.6,  0.040,
1010200712, 011399, 125147,  125.4,  0.016,
1010200710, 011399, 124912,  150.2,  0.002,
1010200709, 011399, 124742,  175.6,  0.003,
1010210008, 011399, -00009,    5.0,  0.014,
1010210007, 011399, -00009,   25.0,  0.009,
1010210006, 011399, -00009,   45.0,  0.013,
1010210005, 011399, -00009,   75.0,  0.013,
1010210004, 011399, -00009,  100.0,  0.009,
1010210003, 011399, -00009,  125.0,  0.008,
1010210002, 011399, -00009,  150.0,  0.006,
1020210008, 021899, -00009,    5.0,  0.013,
1020210007, 021899, -00009,   25.0,  0.011,
1020210006, 021899, -00009,   45.0,  0.009,
1020210005, 021899, -00009,   75.0,  0.005,
1020210004, 021899, -00009,  100.0,  0.003,
1020210003, 021899, -00009,  125.0,  0.000,
1020210001, 021899, -00009,  175.0,  0.000,
1030210008, 031799, -00009,    5.0,  0.010,
1030210007, 031799, -00009,   25.0,  0.014,
1030210006, 031799, -00009,   45.0,  0.016,
1030210005, 031799, -00009,   75.0,  0.014,
1030210004, 031799, -00009,  100.0,  0.004,
1030210003, 031799, -00009,  125.0,  0.001,
1030210002, 031799, -00009,  150.0,  0.003,
1030210001, 031799, -00009,  175.0,  0.002,
1040210008, 041499, -00009,    5.0,  0.008,
1040210007, 041499, -00009,   25.0,  0.007,
1040210006, 041499, -00009,   45.0,  0.009,
1040210005, 041499, -00009,   75.0,  0.006,
1040210004, 041499, -00009,  100.0,  0.008,
1040210003, 041499, -00009,  125.0,  0.003,
1040210002, 041499, -00009,  150.0,  0.010,
1050210008, 051099, -00009,    5.0,  0.012,
1050210007, 051099, -00009,   25.0,  0.012,
1050210006, 051099, -00009,   45.0,  0.010,
1050210005, 051099, -00009,   75.0,  0.011,
1050210004, 051099, -00009,  100.0,  0.013,
1050210003, 051099, -00009,  125.0,  0.012,
1060210008, 071499, -00009,    5.0,  0.012,
1060210007, 071499, -00009,   25.0,  0.007,
1060210006, 071499, -00009,   45.0,  0.013,
1060210005, 071499, -00009,   75.0,  0.009,
1060210004, 071499, -00009,  100.0,  0.005,
1060210003, 071499, -00009,  125.0,  0.002,
1060210002, 071499, -00009,  150.0,  0.002,
1060210001, 071499, -00009,  175.0,  0.002,
1070210008, 081499, -00009,    5.0,  0.008,
1070210007, 081499, -00009,   25.0,  0.007,
1070210006, 081499, -00009,   45.0,  0.009,
1070210005, 081499, -00009,   75.0,  0.010,
1070210004, 081499, -00009,  100.0,  0.019,
1070210003, 081499, -00009,  125.0,  0.005,
1070210002, 081499, -00009,  150.0,  0.001,
1080210008, 101599, -00009,    5.0,  0.004,
1080210007, 101599, -00009,   25.0,  0.006,
1080210006, 101599, -00009,   45.0,  0.006,
1080210005, 101599, -00009,   75.0,  0.002,
1080210004, 101599, -00009,  100.0,  0.003,
1080210003, 101599, -00009,  125.0,  0.001,
1080210002, 101599, -00009,  150.0,  0.002,
1090210008, 110999, -00009,    5.0,  0.007,
1090210007, 110999, -00009,   25.0,  0.006,
1090210006, 110999, -00009,   45.0,  0.006,
1090210005, 110999, -00009,   75.0,  0.006,
1090210004, 110999, -00009,  100.0,  0.006,
1090210003, 110999, -00009,  125.0,  0.003,
1090210002, 110999, -00009,  150.0,  0.001,
1100210008, 121599, -00009,    5.0,  0.006,
1100210007, 121599, -00009,   25.0,  0.007,
1100210006, 121599, -00009,   45.0,  0.006,
1100210005, 121599, -00009,   75.0,  0.005,
1100210004, 121599, -00009,  100.0,  0.004,
1100210003, 121599, -00009,  125.0,  0.001,
1100210002, 121599, -00009,  150.0,  0.000,
1100210001, 121599, -00009,  175.0,  0.001,
1110210008, 020300, -00009,    5.0,  0.005,
1110210007, 020300, -00009,   25.0,  0.003,
1110210006, 020300, -00009,   45.0,  0.003,
1110210005, 020300, -00009,   75.0,  0.005,
1110210004, 020300, -00009,  100.0,  0.004,
1110210003, 020300, -00009,  125.0,  0.000,
1110210002, 020300, -00009,  150.0,  0.001,
1110210001, 020300, -00009,  175.0,  0.000,
1120210008, 030100, -00009,    5.0,  0.010,
1120210007, 030100, -00009,   25.0,  0.009,
1120210006, 030100, -00009,   45.0,  0.025,
1120210005, 030100, -00009,   75.0,  0.009,
1120210004, 030100, -00009,  100.0,  0.010,
1120210003, 030100, -00009,  125.0,  0.003,
1120210002, 030100, -00009,  150.0,  0.000,
1120210001, 030100, -00009,  175.0,  0.001,
1130210008, 032900, -00009,    5.0,  0.036,
1130210007, 032900, -00009,   25.0,  0.029,
1130210006, 032900, -00009,   45.0,  0.032,
1130210005, 032900, -00009,   75.0,  0.029,
