botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0600200509, 020695, 074812,  123.8,   0.21,
0600200508, 020695, 074717,  133.6,   0.21,
0600200507, 020695, 074619,  149.8,   0.18,
0600200506, 020695, 074522,  160.2,   0.19,
0600200505, 020695, 074424,  175.1,   0.14,
0600200504, 020695, 074333,  184.4,   0.14,
0600200503, 020695, 074227,  199.5,   0.14,
0610200422, 030495, 080036,    5.5,   0.24,
0610200421, 030495, 075930,   15.0,   0.24,
0610200419, 030495, 075819,   25.5,   0.27,
0610200418, 030495, 075717,   34.0,   0.26,
0610200417, 030495, 075600,   44.7,   0.24,
0610200416, 030495, 075458,   57.9,   0.24,
0610200415, 030495, 075325,   78.0,   0.26,
0610200414, 030495, 075206,   85.2,   0.27,
0610200413, 030495, 075058,   96.0,   0.25,
0610200412, 030495, 074941,  106.3,   0.21,
0610200411, 030495, 074833,  111.9,   0.22,
0610200410, 030495, 074728,  123.6,   0.21,
0610200409, 030495, 074631,  134.2,   0.19,
0610200407, 030495, 074441,  149.2,   0.18,
0610200405, 030495, 074228,  174.9,   0.17,
0610200403, 030495, 074008,  200.0,   0.15,
0620201523, 040795, 131428,    4.8,   0.21,
0620201521, 040795, 131212,   24.6,   0.26,
0620201519, 040795, 131049,   44.2,   0.22,
0620201517, 040795, 130840,   74.3,   0.23,
0620201513, 040795, 130526,  105.1,   0.31,
0620201512, 040795, 130417,  115.1,   0.21,
0620201511, 040795, 130240,  124.3,   0.21,
0620201509, 040795, 130048,  149.5,   0.19,
0620201508, 040795, 125917,  174.4,   0.18,
0620201507, 040795, 125730,  199.5,   0.14,
0620201612, 040795, 155033,  200.2,   0.17,
0630200523, 050795, 090218,    5.0,   0.22,
0630200522, 050795, 090129,    9.7,   0.23,
0630200521, 050795, 090044,   15.0,   0.23,
0630200519, 050795, 085938,   24.7,   0.25,
0630200518, 050795, 085836,   34.3,   0.26,
0630200517, 050795, 085729,   45.0,   0.26,
0630200516, 050795, 085622,   59.5,   0.23,
0630200515, 050795, 085509,   75.6,   0.23,
0630200514, 050795, 085413,   84.3,   0.22,
0630200513, 050795, 085308,   95.2,   0.21,
0630200512, 050795, 085209,  104.8,   0.21,
0630200511, 050795, 085115,  115.0,   0.21,
0630200510, 050795, 085019,  124.3,   0.22,
