botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0610201307, 030595, 113314,  124.3,  0.126,
0610201306, 030595, 113126,  150.6,  0.016,
0610201305, 030595, 112911,  174.0,  0.006,
0620201415, 040795, 100406,    4.7,  1.580,
0620201414, 040795, 100230,   24.5,  1.515,
0620201413, 040795, 100055,   44.4,  1.830,
0620201412, 040795, 095858,   74.2,  2.309,
0620201411, 040795, 095719,  100.6,  2.010,
0620201410, 040795, 095440,  125.8,  0.649,
0620201409, 040795, 095327,  134.3,  0.401,
0620201408, 040795, 095221,  137.5,  0.338,
0620201407, 040795, 095049,  145.4,  0.323,
0620201406, 040795, 094950,  149.5,  0.291,
0620201405, 040795, 094753,  174.6,  0.121,
0630201317, 050895, 091727,    4.9,  2.268,
0630201315, 050895, 091548,   24.5,  2.288,
0630201314, 050895, 091400,   45.2,  2.832,
0630201313, 050895, 091227,   75.0,  2.634,
0630201312, 050895, 091102,   99.4,  2.842,
0630201311, 050895, 091006,  110.0,  2.575,
0630201310, 050895, 090918,  115.2,  2.266,
0630201309, 050895, 090824,  120.1,  2.282,
0630201308, 050895, 090729,  125.0,  1.292,
0630201307, 050895, 090554,  150.6,  0.210,
0630201306, 050895, 090427,  175.7,  0.055,
0640201518, 073195, 180223,    4.3,  2.077,
0640201516, 073195, 180048,   25.0,  2.252,
0640201514, 073195, 175858,   39.9,  2.738,
0640201513, 073195, 175709,   59.6,  1.982,
0640201512, 073195, 175502,   79.1,  1.142,
0640201510, 073195, 175319,   89.9,  0.586,
0640201508, 073195, 175116,   99.4,  0.075,
0640201506, 073195, 174911,  150.1,  0.212,
0650210008, 082995, -00009,    5.0,  2.071,
0650210007, 082995, -00009,   25.0,  2.216,
0650210006, 082995, -00009,   45.0,  2.147,
0650210004, 082995, -00009,  100.0,  1.079,
0650210003, 082995, -00009,  125.0,  0.341,
0650210002, 082995, -00009,  150.0,  0.025,
0660201418, 092895, 100216,    4.9,  2.238,
0660201417, 092895, 100058,   16.0,  2.317,
0660201416, 092895, 100010,   24.8,  2.298,
0660201415, 092895, 095904,   34.9,  2.599,
0660201414, 092895, 095806,   44.2,  2.646,
0660201413, 092895, 095714,   54.7,  2.947,
0660201412, 092895, 095624,   64.5,  2.856,
0660201411, 092895, 095526,   74.6,  1.853,
0660201410, 092895, 095416,   94.1,  1.645,
0660201409, 092895, 095332,   99.3,  1.603,
0660201408, 092895, 095232,  110.7,  0.553,
0660201407, 092895, 095125,  124.9,  0.259,
0660201406, 092895, 095009,  149.7,  0.039,
0660201405, 092895, 094839,  174.3,  0.014,
0670210008, 102795, -00009,    5.0,  2.641,
0670210007, 102795, -00009,   25.0,  2.532,
0670210006, 102795, -00009,   45.0,  2.695,
0670210005, 102795, -00009,   75.0,  2.740,
0670210004, 102795, -00009,  100.0,  0.622,
0670210003, 102795, -00009,  125.0,  0.283,
0670210002, 102795, -00009,  150.0,  0.115,
0670210001, 102795, -00009,  175.0,  0.046,
0680210008, 111795, -00009,    5.0,  2.823,
0680210007, 111795, -00009,   25.0,  2.818,
0680210006, 111795, -00009,   45.0,  2.766,
0680210005, 111795, -00009,   75.0,  1.965,
0680210004, 111795, -00009,  100.0,  0.831,
0680210003, 111795, -00009,  125.0,  0.168,
0680210002, 111795, -00009,  150.0,  0.027,
0690210008, 011796, -00009,    5.0,  2.457,
0690210007, 011796, -00009,   25.0,  2.475,
0690210006, 011796, -00009,   45.0,  2.419,
0690210005, 011796, -00009,   75.0,  2.868,
0690210004, 011796, -00009,  100.0,  1.939,
0690210003, 011796, -00009,  125.0,  0.193,
0690210002, 011796, -00009,  150.0,  0.067,
0700210008, 032796, -00009,    5.0,  3.399,
0700210007, 032796, -00009,   25.0,  3.360,
0700210006, 032796, -00009,   45.0,  3.587,
0700210005, 032796, -00009,   75.0,  3.293,
0700210004, 032796, -00009,  100.0,  2.655,
0700210003, 032796, -00009,  125.0,  0.948,
0700210001, 032796, -00009,  175.0,  0.090,
0710210008, 042496, -00009,    5.0,  2.513,
0710210007, 042496, -00009,   25.0,  2.453,
0710210006, 042496, -00009,   45.0,  2.473,
0710210005, 042496, -00009,   75.0,  3.193,
0710210004, 042496, -00009,  100.0,  3.608,
0710210003, 042496, -00009,  125.0,  1.358,
0720210008, 052296, -00009,    5.0,  1.989,
0720210007, 052296, -00009,   25.0,  1.996,
0720210006, 052296, -00009,   45.0,  2.248,
0720210005, 052296, -00009,   75.0,  2.984,
0720210004, 052296, -00009,  100.0,  1.810,
0720210003, 052296, -00009,  125.0,  0.389,
0720210002, 052296, -00009,  150.0,  0.180,
0730210008, 062696, -00009,    5.0,  1.905,
0730210007, 062696, -00009,   25.0,  2.007,
0730210006, 062696, -00009,   45.0,  2.358,
0730210005, 062696, -00009,   75.0,  2.492,
0730210004, 062696, -00009,  100.0,  3.067,
0730210003, 062696, -00009,  125.0,  1.485,
0730210002, 062696, -00009,  150.0,  0.562,
0740210008, 072796, -00009,    5.0,  1.735,
