botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0520200505, 021794, 064343,  135.2,   0.19,
0520200504, 021794, 064230,  150.4,   0.17,
0520210008, 021794, -00009,    5.0,   0.17,
0520210007, 021794, -00009,   25.0,   0.18,
0520210006, 021794, -00009,   45.0,   0.18,
0520210005, 021794, -00009,   75.0,   0.21,
0520210004, 021794, -00009,  100.0,   0.20,
0520210003, 021794, -00009,  125.0,   0.20,
0520210002, 021794, -00009,  150.0,   0.09,
0520210001, 021794, -00009,  175.0,   0.03,
0530200621, 030994, 060838,    4.6,   0.07,
0530200620, 030994, 060708,   14.9,   0.07,
0530200618, 030994, 060546,   25.2,   0.08,
0530200617, 030994, 060448,   36.8,   0.08,
0530200616, 030994, 060347,   45.5,   0.08,
0530200615, 030994, 060226,   60.1,   0.10,
0530200614, 030994, 060130,   75.0,   0.12,
0530200613, 030994, 060043,   83.3,   0.13,
0530200612, 030994, 055938,   95.2,   0.16,
0530200611, 030994, 055837,  104.9,   0.20,
0530200610, 030994, 055737,  115.9,   0.23,
0530200609, 030994, 055642,  125.8,   0.29,
0530200608, 030994, 055535,  135.0,   0.29,
0530200607, 030994, 055225,  149.2,   0.20,
0530200606, 030994, 055126,  159.5,   0.13,
0530200605, 030994, 055008,  174.7,   0.05,
0530210008, 030994, -00009,    5.0,   0.07,
0530210007, 030994, -00009,   25.0,   0.07,
0530210006, 030994, -00009,   45.0,   0.08,
0530210005, 030994, -00009,   75.0,   0.12,
0530210004, 030994, -00009,  100.0,   0.17,
0530210003, 030994, -00009,  125.0,   0.25,
0530210002, 030994, -00009,  150.0,   0.17,
0530210001, 030994, -00009,  175.0,   0.06,
0540201321, 061994, 230633,    5.1,   0.08,
0540201320, 061994, 230503,   14.9,   0.06,
0540201318, 061994, 230339,   24.7,   0.07,
0540201316, 061994, 230056,   44.6,   0.07,
0540201315, 061994, 225936,   59.7,   0.09,
0540201314, 061994, 225807,   75.4,   0.13,
0540201313, 061994, 225646,   84.7,   0.18,
0540201312, 061994, 225524,   95.7,   0.19,
0540201311, 061994, 225403,  105.1,   0.17,
0540201310, 061994, 225242,  113.8,   0.20,
0540201309, 061994, 225114,  125.3,   0.25,
0540201308, 061994, 224943,  136.6,   0.14,
0540201307, 061994, 224807,  150.6,   0.15,
0540201306, 061994, 224639,  157.4,   0.14,
0540201305, 061994, 224509,  175.1,   0.07,
0540201304, 061994, 224325,  185.2,   0.03,
0540210008, 061994, -00009,    5.0,   0.06,
0540210007, 061994, -00009,   25.0,   0.07,
0540210006, 061994, -00009,   45.0,   0.08,
0540210005, 061994, -00009,   75.0,   0.12,
0540210004, 061994, -00009,  100.0,   0.16,
0540210003, 061994, -00009,  125.0,   0.19,
0540210002, 061994, -00009,  150.0,   0.17,
0540210001, 061994, -00009,  175.0,   0.08,
0550200423, 072594, 080830,    4.7,   0.10,
0550200422, 072594, 080712,   14.8,   0.09,
0550200420, 072594, 080534,   24.6,   0.09,
0550200419, 072594, 080425,   34.2,   0.10,
0550200418, 072594, 080309,   43.8,   0.10,
0550200417, 072594, 080147,   59.8,   0.14,
0550200416, 072594, 080028,   74.3,   0.22,
0550200414, 072594, 075845,   84.3,   0.20,
0550200413, 072594, 075707,   94.9,   0.27,
0550200412, 072594, 075548,  104.2,   0.27,
0550200411, 072594, 075431,  115.3,   0.22,
0550200410, 072594, 075215,  124.2,   0.14,
0550200409, 072594, 075043,  134.4,   0.12,
0550200407, 072594, 074814,  149.6,   0.06,
0550200406, 072594, 074656,  159.1,   0.03,
0550200405, 072594, 074516,  175.0,   0.01,
0550210008, 072594, -00009,    5.0,   0.09,
0550210007, 072594, -00009,   25.0,   0.10,
0550210006, 072594, -00009,   45.0,   0.20,
0550210005, 072594, -00009,   75.0,   0.26,
