botid, date, time, press, dic, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0680200614, 111795, 055324,   85.5,  1999.1,
0680200613, 111795, 055211,   94.1,  2006.3,
0680200612, 111795, 055109,  104.3,  2015.7,
0680200611, 111795, 054958,  114.3,  2019.0,
0680200610, 111795, 054836,  125.0,  2021.4,
0680200609, 111795, 054726,  134.5,  2025.0,
0680200608, 111795, 054621,  149.9,  2027.9,
0680200607, 111795, 054525,  160.3,  2028.6,
0680200606, 111795, 054428,  175.1,  2029.5,
0680200605, 111795, 054328,  184.7,  2031.1,
0690200721, 011796, 075754,    4.6,  1958.3,
0690200718, 011796, 075546,   24.9,  1960.5,
0690200717, 011796, 075452,   34.8,  1962.7,
0690200716, 011796, 075348,   44.8,  1966.2,
0690200715, 011796, 075242,   59.6,  1971.3,
0690200714, 011796, 075136,   74.6,  1976.0,
0690200713, 011796, 075032,   84.3,  1981.0,
0690200712, 011796, 074934,   94.4,  1989.0,
0690200711, 011796, 074834,  104.4,  1998.5,
0690200710, 011796, 074734,  114.4,  2010.5,
0690200709, 011796, 074628,  124.8,  2016.3,
0690200708, 011796, 074520,  134.9,  2021.3,
0690200707, 011796, 074412,  149.5,  2023.7,
0690200706, 011796, 074312,  160.0,  2028.3,
0690200705, 011796, 074208,  174.4,  2030.9,
0690200704, 011796, 074114,  184.4,  2033.0,
0720200221, 052296, 060931,    5.1,  1963.7,
0720200218, 052296, 060707,   24.6,  1966.1,
0720200217, 052296, 060554,   35.1,  1966.3,
0720200216, 052296, 060452,   44.5,  1969.9,
0720200215, 052296, 060328,   61.1,  1975.9,
0720200214, 052296, 060206,   75.1,  1980.3,
0720200213, 052296, 060053,   85.0,  1984.8,
0720200212, 052296, 055936,   94.3,  1988.8,
0720200211, 052296, 055826,  105.1,  1994.4,
0720200210, 052296, 055720,  116.3,  2001.2,
0720200209, 052296, 055600,  125.0,  2002.2,
0720200208, 052296, 055452,  134.8,  2012.3,
0720200207, 052296, 055332,  149.0,  2013.2,
0720200206, 052296, 055217,  159.4,  2012.8,
0720200205, 052296, 055052,  175.1,  2012.3,
0720200204, 052296, 054922,  186.2,  2017.3,
0730200623, 062696, 070517,    4.0,  1937.7,
0730200619, 062696, 070225,   24.6,  1938.1,
0730200618, 062696, 070111,   35.2,  1942.8,
0730200617, 062696, 065955,   45.0,  1962.6,
0730200616, 062696, 065833,   59.3,  1971.3,
0730200615, 062696, 065721,   74.4,  1977.4,
0730200614, 062696, 065607,   84.5,  1983.4,
0730200613, 062696, 065503,   94.9,  1987.8,
0730200612, 062696, 065357,  104.7,  1989.4,
0730200611, 062696, 065249,  114.5,  1993.0,
0730200610, 062696, 065131,  124.1,  1996.5,
0730200609, 062696, 065015,  134.0,  1998.2,
0730200608, 062696, 064907,  150.0,  2003.2,
0730200607, 062696, 064801,  159.0,  2007.0,
0730200606, 062696, 064637,  174.6,  2009.8,
0730200605, 062696, 064531,  184.6,  2012.0,
0740200623, 072796, 065603,    4.4,  1942.6,
0740200620, 072796, 065409,   24.3,  1945.4,
0740200618, 072796, 065301,   33.9,  1945.3,
0740200617, 072796, 065203,   44.6,  1946.2,
0740200616, 072796, 065111,   58.9,  1952.8,
0740200615, 072796, 065009,   74.8,  1973.3,
0740200614, 072796, 064917,   84.5,  1978.9,
0740200613, 072796, 064817,   95.1,  1982.8,
0740200612, 072796, 064729,  103.8,  1988.0,
0740200611, 072796, 064629,  113.7,  1992.8,
0740200610, 072796, 064535,  124.2,  2001.8,
0740200609, 072796, 064439,  134.2,  2002.5,
0740200607, 072796, 064301,  150.2,  2006.8,
0740200606, 072796, 064213,  159.2,  2017.6,
0740200605, 072796, 064117,  174.3,  2028.9,
0740200604, 072796, 064029,  184.6,  2027.9,
0740200603, 072796, 063927,  199.9,  2028.8,
0750200624, 082196, 080153,    5.2,  1946.7,
0750200621, 082196, 075921,   25.1,  1945.8,
0750200619, 082196, 075829,   34.6,  1945.5,
0750200618, 082196, 075721,   44.9,  1946.2,
0750200617, 082196, 075618,   59.8,  1962.5,
0750200616, 082196, 075507,   74.5,  1972.3,
0750200615, 082196, 075405,   84.6,  1978.7,
0750200614, 082196, 075259,   95.0,  1983.9,
0750200613, 082196, 075203,  104.4,  1993.9,
0750200612, 082196, 075105,  114.2,  1999.0,
0750200611, 082196, 075007,  125.3,  2014.6,
0750200610, 082196, 074851,  135.7,  2010.7,
0750200609, 082196, 074727,  150.4,  2013.8,
0750200608, 082196, 074615,  160.0,  2014.6,
0750200607, 082196, 074509,  176.0,  2023.1,
0750200606, 082196, 074359,  185.6,  2021.9,
0750200605, 082196, 074259,  199.8,  2029.0,
0760200624, 100296, 065924,    3.8,  1948.4,
0760200622, 100296, 065822,   14.2,  1951.1,
0760200620, 100296, 065723,   24.2,  1950.5,
0760200619, 100296, 065626,   34.9,  1953.4,
0760200618, 100296, 065540,   43.6,  1952.2,
0760200617, 100296, 065430,   59.6,  1955.3,
0760200616, 100296, 065318,   73.8,  1975.5,
0760200615, 100296, 065212,   84.6,  1983.5,
0760200614, 100296, 065118,   94.5,  1991.0,
0760200613, 100296, 065016,  103.7,  1997.7,
0760200612, 100296, 064908,  115.3,  2008.7,
0760200611, 100296, 064808,  124.3,  2010.4,
0760200610, 100296, 064710,  134.8,  2007.2,
0760200609, 100296, 064608,  148.7,  2014.9,
0760200608, 100296, 064500,  159.4,  2024.1,
0760200607, 100296, 064358,  175.1,  2029.9,
0760200606, 100296, 064306,  183.8,  2034.0,
0760200605, 100296, 064200,  199.9,  2032.0,
0770200422, 103096, 070334,    4.3,  1961.3,
0770200421, 103096, 070232,   14.7,  1960.0,
0770200419, 103096, 070052,   24.2,  1960.4,
0770200418, 103096, 065934,   34.9,  1960.5,
0770200417, 103096, 065806,   43.7,  1960.2,
0770200416, 103096, 065650,   59.6,  1960.2,
0770200415, 103096, 065528,   74.1,  1962.7,
0770200414, 103096, 065424,   84.4,  1984.0,
0770200413, 103096, 065310,   95.4,  2002.6,
0770200412, 103096, 065202,  104.4,  2010.1,
0770200411, 103096, 065052,  114.2,  2016.2,
0770200410, 103096, 064946,  123.8,  2019.9,
0770200409, 103096, 064844,  135.2,  2025.2,
0770200408, 103096, 064722,  149.7,  2028.0,
0770200407, 103096, 064616,  159.8,  2030.1,
0770200406, 103096, 064438,  175.2,  2032.3,
0770200405, 103096, 064334,  185.2,  2033.4,
0780200621, 121196, 093257,    4.3,  1966.2,
0780200620, 121196, 093133,   14.6,  1966.4,
0780200618, 121196, 092945,   24.2,  1968.1,
0780200617, 121196, 092821,   35.0,  1966.0,
0780200616, 121196, 092653,   44.5,  1965.4,
0780200615, 121196, 092535,   59.5,  1967.1,
0780200614, 121196, 092411,   74.2,  1967.3,
0780200613, 121196, 092249,   83.9,  1966.6,
0780200612, 121196, 092127,   95.7,  1968.0,
0780200611, 121196, 092011,  105.1,  1999.9,
0780200610, 121196, 091853,  114.6,  2009.8,
0780200609, 121196, 091743,  125.0,  2013.7,
0780200608, 121196, 091611,  135.4,  2021.5,
0780200607, 121196, 091445,  149.4,  2031.3,
0780200606, 121196, 091331,  159.9,  2036.8,
0780200605, 121196, 091213,  174.7,  2037.4,
0780200604, 121196, 091055,  183.8,  2041.1,
0780200603, 121196, 090913,  199.9,  2044.5,
0790200622, 010897, 080555,    4.3,  1971.6,
0790200621, 010897, 080433,   14.2,  1969.5,
0790200619, 010897, 080311,   24.3,  1969.2,
0790200618, 010897, 080143,   34.4,  1970.2,
0790200617, 010897, 080003,   44.2,  1975.5,
0790200616, 010897, 075835,   59.3,  1990.5,
0790200615, 010897, 075713,   75.0,  1996.4,
0790200614, 010897, 075539,   84.8,  1998.1,
0790200613, 010897, 075421,   94.4,  2003.5,
0790200612, 010897, 075301,  104.5,  2006.3,
0790200611, 010897, 075149,  114.1,  2008.8,
0790200610, 010897, 075025,  124.9,  2018.0,
0790200609, 010897, 074903,  134.9,  2020.2,
0790200608, 010897, 074717,  149.9,  2025.9,
0790200607, 010897, 074559,  159.3,  2031.7,
0790200606, 010897, 074431,  175.0,  2035.1,
0790200605, 010897, 074303,  185.8,  2037.7,
0790200604, 010897, 074139,  199.8,  2040.8,
0800200622, 021897, 070826,    4.5,  1973.8,
0800200621, 021897, 070712,   15.2,  1976.0,
0800200619, 021897, 070558,   24.5,  1975.4,
0800200618, 021897, 070438,   33.9,  1972.0,
0800200617, 021897, 070324,   44.4,  1972.5,
0800200616, 021897, 070158,   60.1,  1971.3,
0800200615, 021897, 070040,   74.5,  1973.2,
0800200614, 021897, 065934,   84.4,  1973.5,
0800200613, 021897, 065814,   94.2,  1973.3,
0800200612, 021897, 065708,  104.7,  1981.0,
0800200611, 021897, 065548,  114.4,  1978.6,
0800200610, 021897, 065434,  124.5,  1980.0,
0800200609, 021897, 065316,  135.8,  1981.5,
0800200608, 021897, 065144,  150.0,  1987.5,
0800200607, 021897, 065040,  160.0,  1999.3,
0800200606, 021897, 064920,  174.1,  2000.4,
0800200605, 021897, 064750,  184.2,  2019.6,
0810200622, 031297, 070732,    4.5,  1974.5,
0810200621, 031297, 070624,   14.5,  1974.2,
0810200619, 031297, 070456,   24.8,  1980.9,
0810200617, 031297, 070232,   44.6,  1983.4,
0810200616, 031297, 070114,   59.9,  1986.2,
0810200615, 031297, 065946,   75.2,  1988.4,
0810200614, 031297, 065832,   85.5,  1988.7,
0810200612, 031297, 065606,  105.0,  1993.2,
0810200611, 031297, 065454,  115.4,  2000.9,
0810200610, 031297, 065404,  119.0,  2001.8,
0810200609, 031297, 065306,  124.2,  2003.0,
0810200607, 031297, 065036,  150.2,  2014.5,
0810200606, 031297, 064932,  159.6,  2029.4,
0820200622, 040997, 070830,    5.1,  1973.2,
0820200621, 040997, 070724,   15.2,  1971.4,
0820200619, 040997, 070614,   25.4,  1972.1,
0820200618, 040997, 070504,   34.9,  1973.7,
0820200617, 040997, 070352,   44.3,  1977.3,
0820200616, 040997, 070204,   60.1,  1991.0,
0820200615, 040997, 070052,   75.0,  2011.4,
0820200614, 040997, 065938,   85.1,  2017.6,
0820200613, 040997, 065826,   95.0,  2028.2,
0820200612, 040997, 065718,  105.1,  2032.5,
0820200611, 040997, 065604,  115.1,  2037.5,
0820200610, 040997, 065444,  125.0,  2040.3,
0820200609, 040997, 065334,  134.8,  2044.5,
0820200608, 040997, 065216,  149.9,  2048.8,
0820200607, 040997, 065110,  159.8,  2052.9,
