botid, date, time, press, alk, 
#, mmddyy, hhmmss, dbar, ueq/kg, 
0600200507, 020695, 074619,  149.8,  2317,
0600200506, 020695, 074522,  160.2,  2324,
0600200505, 020695, 074424,  175.1,  2297,
0600200504, 020695, 074333,  184.4,  2303,
0600200503, 020695, 074227,  199.5,  2295,
0600200617, 020795, 091424,    5.6,  2259,
0600200615, 020795, 091242,   24.6,  2255,
0610200423, 030495, 080049,    5.5,  2283,
0610200420, 030495, 075830,   25.5,  2289,
0610200418, 030495, 075717,   34.0,  2285,
0610200417, 030495, 075600,   44.7,  2309,
0610200416, 030495, 075458,   57.9,  2313,
0610200415, 030495, 075325,   78.0,  2311,
0610200414, 030495, 075206,   85.2,  2313,
0610200413, 030495, 075058,   96.0,  2315,
0610200412, 030495, 074941,  106.3,  2312,
0610200411, 030495, 074833,  111.9,  2311,
0610200410, 030495, 074728,  123.6,  2311,
0610200409, 030495, 074631,  134.2,  2315,
0610200407, 030495, 074441,  149.2,  2315,
0610200406, 030495, 074336,  161.3,  2312,
0610200405, 030495, 074228,  174.9,  2307,
0610200404, 030495, 074124,  184.9,  2304,
0610200403, 030495, 074008,  200.0,  2300,
0610201208, 030595, 083620,    4.7,  2286,
0610201207, 030595, 083439,   25.1,  2286,
0620200522, 040695, 070440,    4.4,  2274,
0620200519, 040695, 070203,   25.1,  2275,
0620200517, 040695, 070056,   33.6,  2272,
0620200516, 040695, 065950,   44.8,  2274,
0620200514, 040695, 065730,   75.2,  2290,
0620200513, 040695, 065630,   84.9,  2287,
0620200512, 040695, 065535,   93.3,  2291,
0620200511, 040695, 065436,  104.5,  2293,
0620200510, 040695, 065334,  114.4,  2294,
0620200509, 040695, 065236,  124.0,  2296,
0620200508, 040695, 065134,  134.9,  2302,
0620200507, 040695, 065029,  149.2,  2310,
0620200506, 040695, 064937,  160.2,  2313,
0620200505, 040695, 064840,  173.8,  2313,
0620200504, 040695, 064737,  183.6,  2314,
0620201305, 040795, 074422,    4.5,  2266,
0620201304, 040795, 074313,   24.8,  2266,
0630200523, 050795, 090218,    5.0,  2285,
0630200519, 050795, 085938,   24.7,  2284,
0630200518, 050795, 085836,   34.3,  2285,
0630200517, 050795, 085729,   45.0,  2283,
0630200516, 050795, 085622,   59.5,  2300,
0630200515, 050795, 085509,   75.6,  2309,
0630200514, 050795, 085413,   84.3,  2308,
0630200513, 050795, 085308,   95.2,  2310,
0630200512, 050795, 085209,  104.8,  2308,
0630200511, 050795, 085115,  115.0,  2311,
0630200510, 050795, 085019,  124.3,  2314,
0630200509, 050795, 084919,  135.3,  2314,
0630200508, 050795, 084817,  149.8,  2312,
0630200507, 050795, 084717,  159.4,  2307,
0630200506, 050795, 084608,  174.7,  2304,
0630200505, 050795, 084512,  184.9,  2303,
0640200523, 073095, 082954,    5.0,  2298,
0640200520, 073095, 082736,   24.4,  2301,
0640200519, 073095, 082630,   35.0,  2300,
0640200518, 073095, 082510,   45.1,  2295,
0640200517, 073095, 082351,   60.1,  2294,
0640200516, 073095, 082228,   74.9,  2306,
0640200515, 073095, 082120,   85.0,  2308,
0640200514, 073095, 082010,   95.6,  2314,
0640200513, 073095, 081900,  104.7,  2316,
0640200512, 073095, 081744,  114.6,  2317,
0640200511, 073095, 081623,  124.5,  2322,
0640200510, 073095, 081525,  133.8,  2321,
0640200509, 073095, 081405,  149.5,  2318,
0640200508, 073095, 081245,  160.7,  2318,
0640200507, 073095, 081110,  174.3,  2311,
0640200506, 073095, 081001,  183.9,  2308,
0640201324, 073195, 120909,    4.0,  2294,
0640201322, 073195, 120743,   24.7,  2289,
0650200423, 082895, 073257,    4.7,  2297,
0650200420, 082895, 073055,   25.0,  2298,
0650200419, 082895, 073001,   44.3,  2302,
0650200418, 082895, 072909,   60.3,  2308,
0650200417, 082895, 072757,   74.4,  2309,
0650200416, 082895, 072658,   84.3,  2310,
0650200414, 082895, 072458,   94.7,  2312,
0650200412, 082895, 072300,  105.2,  2309,
0650200411, 082895, 072154,  114.8,  2309,
0650200410, 082895, 072100,  124.8,  2309,
0650200409, 082895, 072010,  135.4,  2309,
0650200408, 082895, 071859,  149.6,  2306,
0650200407, 082895, 071759,  160.0,  2307,
0650200406, 082895, 071658,  173.3,  2303,
0650200405, 082895, 071602,  184.8,  2295,
0650201213, 082995, 073242,    5.1,  2301,
0650201211, 082995, 073048,   26.3,  2298,
0660200416, 092795, 040201,  199.9,  2300,
0660200522, 092795, 070151,    5.0,  2297,
0660200519, 092795, 065939,   24.8,  2297,
