botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0660200521, 092795, 070049,   14.1,    3.2,
0660200519, 092795, 065939,   24.8,    3.2,
0660200518, 092795, 065849,   35.0,    3.1,
0660200517, 092795, 065800,   45.5,    5.4,
0660200516, 092795, 065649,   60.4,    2.2,
0660200515, 092795, 065545,   74.5,   36.1,
0660200513, 092795, 065356,   93.9,    3.3,
0660200512, 092795, 065311,  104.1,    2.3,
0660200511, 092795, 065209,  114.4,   63.4,
0660200510, 092795, 065114,  124.0,  322.5,
0660200509, 092795, 065021,  134.1,  575.6,
0660200614, 092795, 100025,    5.2,    2.3,
0660200613, 092795, 095924,   14.9,    1.7,
0660200612, 092795, 095832,   24.5,    2.3,
0660200611, 092795, 095718,   44.9,    1.9,
0660200610, 092795, 095549,   74.7,    2.0,
0660200609, 092795, 095432,  100.2,  204.0,
0660200608, 092795, 095251,  125.6,  815.1,
0660200716, 092795, 133012,    2.5,    3.5,
0660200715, 092795, 132913,    9.9,    2.6,
0660200713, 092795, 132733,   19.7,    3.3,
0660200712, 092795, 132629,   29.7,    3.0,
0660200711, 092795, 132527,   38.8,    4.1,
0660200710, 092795, 132425,   48.8,    2.2,
0660200709, 092795, 132324,   59.7,    4.1,
0660200708, 092795, 132218,   69.5,    2.9,
0660200707, 092795, 132113,   80.1,    2.7,
0660200706, 092795, 132006,   89.4,    6.8,
0660200705, 092795, 131822,  123.8,  762.3,
0660200824, 092795, 162928,    4.3,    1.9,
0660200822, 092795, 162738,   13.8,    2.6,
0660200820, 092795, 162558,   24.3,    2.4,
0660200816, 092795, 162241,   44.8,    2.2,
0660200812, 092795, 161848,   75.8,    3.7,
0660200809, 092795, 161541,  105.0,   16.2,
0660200807, 092795, 161354,  125.6,  203.5,
0660200806, 092795, 161245,  150.7,  749.0,
0660200923, 092795, 190700,    4.4,    6.2,
0660200921, 092795, 190453,   25.2,    2.6,
0660200920, 092795, 190335,   44.3,    2.1,
0660200919, 092795, 190202,   75.2,    1.4,
0660200915, 092795, 185846,   99.2,    1.7,
0660200912, 092795, 185527,  124.4,    7.9,
0660200908, 092795, 185201,  149.2,  654.6,
0660201020, 092795, 215206,    4.2,    1.9,
