botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0500200603, 102993, 071650,  197.4,   3.56,
0510200314, 012094, 055843,  226.1,   3.21,
0510200313, 012094, 055742,  234.2,   3.74,
0510200312, 012094, 055631,  251.6,   3.23,
0510200311, 012094, 055502,  278.0,   2.99,
0510200310, 012094, 055357,  303.9,   3.80,
0510200309, 012094, 055226,  321.9,   3.05,
0510200308, 012094, 055036,  349.4,   3.15,
0510200307, 012094, 054852,  400.1,   2.85,
0510200306, 012094, 054607,  501.2,   2.48,
0510200305, 012094, 054328,  599.1,   1.56,
0510200304, 012094, 054038,  699.0,   1.47,
0510200303, 012094, 053727,  800.8,   1.44,
0510200302, 012094, 053451,  900.4,   1.33,
0510200301, 012094, 053132, 1020.9,   1.08,
0510200422, 012094, 091215,    7.5,   5.04,
0510200421, 012094, 091156,   17.1,   5.36,
0510200419, 012094, 090954,   27.3,   5.79,
0510200418, 012094, 090940,   36.7,   5.38,
0510200416, 012094, 090726,   62.9,   5.82,
0510200415, 012094, 090613,   76.6,   5.87,
0510200414, 012094, 090504,   85.8,   5.23,
0510200413, 012094, 090409,   96.1,   5.62,
0510200412, 012094, 090312,  106.4,   5.29,
0510200411, 012094, 090218,  114.6,   5.19,
0510200410, 012094, 090118,  125.7,   4.98,
0510200409, 012094, 090023,  136.4,   5.00,
0510200408, 012094, 085920,  153.1,   4.70,
0510200406, 012094, 085648,  168.8,   4.13,
0510200404, 012094, 085218,  204.6,   3.58,
0520200418, 021794, 040115,  174.9,   4.71,
0520200416, 021794, 035901,  199.0,   3.60,
0520200414, 021794, 035650,  226.2,   3.60,
0520200413, 021794, 035548,  236.1,   4.46,
0520200412, 021794, 035411,  252.1,   3.77,
0520200411, 021794, 035245,  276.1,   4.00,
0520200410, 021794, 035008,  301.7,   3.85,
0520200409, 021794, 034841,  323.2,   3.42,
0520200408, 021794, 034722,  350.5,   3.64,
0520200407, 021794, 034514,  400.9,   3.34,
0520200406, 021794, 034222,  496.8,   3.10,
0520200405, 021794, 033939,  602.6,   2.71,
0520200404, 021794, 033602,  697.4,   2.47,
0520200403, 021794, 033315,  796.4,   2.27,
0520200402, 021794, 033051,  883.4,   2.30,
0520200401, 021794, 032713, 1018.1,   2.16,
0520200517, 021794, 065711,    4.8,   7.23,
0520200516, 021794, 065604,   15.0,   5.99,
0520200515, 021794, 065455,   25.4,   6.56,
0520200514, 021794, 065351,   35.0,   6.55,
0520200513, 021794, 065249,   44.9,   6.45,
0520200512, 021794, 065129,   61.4,   5.87,
0520200511, 021794, 065000,   77.8,   6.89,
0520200510, 021794, 064852,   85.6,   5.79,
0520200509, 021794, 064752,   95.4,   7.09,
0520200508, 021794, 064651,  106.1,   6.10,
0520200507, 021794, 064545,  114.4,   5.55,
0520200506, 021794, 064445,  125.5,   5.52,
0520200505, 021794, 064343,  135.2,   5.32,
0520200504, 021794, 064230,  150.4,   5.18,
0520200503, 021794, 064120,  161.8,   3.36,
0530200515, 030994, 025415,  234.9,   3.70,
0530200514, 030994, 025304,  253.2,   3.57,
0530200513, 030994, 025134,  277.0,   4.03,
0530200512, 030994, 025009,  301.7,   4.00,
0530200511, 030994, 024844,  326.3,   3.72,
0530200510, 030994, 024712,  349.3,   4.13,
0530200509, 030994, 024552,  400.9,   3.84,
0530200508, 030994, 024413,  464.0,   3.78,
0530200506, 030994, 024053,  592.9,   2.70,
0530200505, 030994, 023749,  701.2,   3.55,
0530200504, 030994, 023451,  802.2,   2.65,
0530200503, 030994, 023226,  901.9,   2.51,
0530200502, 030994, 022929, 1032.0,   2.36,
0530200501, 030994, 022535, 1032.0,   2.24,
0530200621, 030994, 060838,    4.6,   5.31,
0530200620, 030994, 060708,   14.9,   5.35,
0530200618, 030994, 060546,   25.2,   5.68,
0530200617, 030994, 060448,   36.8,   7.21,
0530200616, 030994, 060347,   45.5,   5.41,
0530200615, 030994, 060226,   60.1,   5.35,
0530200614, 030994, 060130,   75.0,   5.29,
0530200613, 030994, 060043,   83.3,   5.26,
0530200612, 030994, 055938,   95.2,   5.66,
0530200611, 030994, 055837,  104.9,   5.83,
0530200610, 030994, 055737,  115.9,   5.57,
0530200609, 030994, 055642,  125.8,   5.39,
0530200608, 030994, 055535,  135.0,   4.97,
0530200607, 030994, 055225,  149.2,   5.05,
0530200605, 030994, 055008,  174.7,   5.44,
0530200603, 030994, 054751,  200.4,   3.95,
0540201215, 061994, 195918,  210.4,   5.10,
0540201214, 061994, 195743,  226.3,   5.08,
0540201213, 061994, 195623,  235.5,   4.05,
0540201212, 061994, 195454,  250.1,   4.58,
0540201210, 061994, 195059,  300.3,   3.73,
0540201209, 061994, 194903,  324.7,   4.14,
0540201208, 061994, 194710,  349.1,   3.70,
0540201207, 061994, 194454,  400.0,   3.51,
0540201206, 061994, 194152,  500.5,   3.03,
0540201205, 061994, 193839,  600.5,   1.93,
0540201204, 061994, 193525,  699.3,   1.37,
0540201203, 061994, 193149,  800.5,   1.23,
0540201202, 061994, 192838,  899.7,   1.52,
0540201201, 061994, 192444, 1019.9,   1.26,
0540201321, 061994, 230633,    5.1,   5.07,
0540201320, 061994, 230503,   14.9,   5.05,
0540201318, 061994, 230339,   24.7,   5.47,
0540201317, 061994, 230219,   35.3,   5.39,
0540201316, 061994, 230056,   44.6,   5.71,
0540201315, 061994, 225936,   59.7,   6.81,
0540201314, 061994, 225807,   75.4,   6.86,
0540201313, 061994, 225646,   84.7,   5.94,
0540201312, 061994, 225524,   95.7,   6.21,
0540201311, 061994, 225403,  105.1,   5.84,
0540201310, 061994, 225242,  113.8,   5.54,
0540201309, 061994, 225114,  125.3,   5.60,
0540201308, 061994, 224943,  136.6,   5.31,
0540201307, 061994, 224807,  150.6,   4.69,
0540201306, 061994, 224639,  157.4,   5.10,
0540201305, 061994, 224509,  175.1,   4.35,
0540201304, 061994, 224325,  185.2,   3.88,
0540201303, 061994, 224139,  201.4,   4.64,
0550200317, 072594, 045902,  200.4,   5.30,
0550200316, 072594, 045739,  210.8,   4.56,
0550200315, 072594, 045620,  223.9,   5.09,
0550200314, 072594, 045418,  236.7,   4.69,
0550200313, 072594, 045136,  247.9,   4.21,
0550200312, 072594, 044632,  283.2,   4.58,
0550200311, 072594, 044441,  301.2,   4.87,
0550200310, 072594, 044255,  323.1,   3.67,
0550200309, 072594, 044123,  349.1,   5.12,
0550200308, 072594, 043916,  401.4,   4.62,
0550200307, 072594, 043559,  498.4,   2.89,
0550200306, 072594, 043415,  550.3,   2.85,
0550200305, 072594, 043230,  597.6,   2.60,
0550200304, 072594, 042936,  699.7,   1.34,
0550200303, 072594, 042623,  802.6,   1.64,
0550200302, 072594, 042315,  902.1,   1.52,
0550200301, 072594, 041830, 1022.0,   1.88,
0550200423, 072594, 080830,    4.7,   5.19,
0550200422, 072594, 080712,   14.8,   5.39,
0550200420, 072594, 080534,   24.6,   5.80,
0550200419, 072594, 080425,   34.2,   5.58,
0550200418, 072594, 080309,   43.8,   6.03,
0550200417, 072594, 080147,   59.8,   5.94,
0550200416, 072594, 080028,   74.3,   6.32,
0550200414, 072594, 075845,   84.3,   5.73,
0550200413, 072594, 075707,   94.9,   5.71,
0550200412, 072594, 075548,  104.2,   5.77,
0550200411, 072594, 075431,  115.3,   5.60,
0550200410, 072594, 075215,  124.2,   5.45,
0550200409, 072594, 075043,  134.4,   4.80,
0550200407, 072594, 074814,  149.6,   4.55,
0550200405, 072594, 074516,  175.0,   4.11,
0550200403, 072594, 074140,  201.3,   4.07,
0560200416, 083094, 033738,  210.3,   2.83,
0560200415, 083094, 033631,  223.7,   2.59,
0560200414, 083094, 033534,  234.9,   2.92,
0560200413, 083094, 033441,  249.2,   3.01,
0560200412, 083094, 033333,  275.0,   3.22,
0560200411, 083094, 033226,  299.7,   3.10,
0560200410, 083094, 033104,  325.4,   3.42,
0560200409, 083094, 032937,  350.0,   3.23,
0560200408, 083094, 032740,  400.5,   3.32,
0560200407, 083094, 032450,  500.2,   3.04,
0560200406, 083094, 032244,  560.5,   2.39,
0560200405, 083094, 032058,  600.8,   2.48,
0560200404, 083094, 031810,  701.1,   2.23,
0560200403, 083094, 031532,  800.6,   2.16,
0560200402, 083094, 031259,  900.0,   1.93,
0560200401, 083094, 030909, 1020.6,   1.95,
0560200521, 083094, 064533,    4.5,   4.55,
0560200520, 083094, 064429,   14.6,   5.58,
0560200518, 083094, 064310,   25.2,   5.58,
0560200517, 083094, 064204,   35.2,   5.77,
0560200516, 083094, 064059,   44.6,   6.17,
0560200515, 083094, 063939,   59.6,   5.81,
0560200514, 083094, 063820,   75.9,   5.75,
0560200513, 083094, 063710,   85.0,   5.74,
0560200512, 083094, 063552,   94.4,   5.91,
0560200511, 083094, 063441,  105.5,   5.47,
0560200510, 083094, 063309,  115.0,   5.30,
0560200509, 083094, 063142,  125.1,   5.01,
0560200508, 083094, 063030,  135.4,   4.21,
0560200507, 083094, 062910,  150.4,   3.90,
0560200505, 083094, 062619,  175.6,   3.32,
0560200503, 083094, 062254,  200.7,   3.58,
0560200502, 083094, 061539,  525.8,   3.16,
0560200501, 083094, 060439, 1022.0,   1.86,
0570200314, 092394, 045547,  224.6,   3.09,
0570200313, 092394, 045449,  234.4,   3.13,
0570200312, 092394, 045347,  249.2,   3.33,
0570200311, 092394, 045214,  275.3,   3.56,
0570200310, 092394, 045047,  302.4,   3.39,
0570200309, 092394, 044918,  326.9,   3.29,
0570200308, 092394, 044729,  351.9,   4.08,
0570200307, 092394, 044523,  402.4,   2.91,
0570200306, 092394, 044243,  500.3,   1.99,
0570200305, 092394, 043951,  602.2,   2.08,
0570200304, 092394, 043704,  699.3,   1.77,
0570200303, 092394, 043353,  801.5,   1.95,
0570200302, 092394, 043019,  903.2,   1.77,
0570200301, 092394, 042638, 1017.5,   1.53,
0570200421, 092394, 080726,    5.4,   4.51,
0570200420, 092394, 080632,   15.1,   5.12,
0570200418, 092394, 080522,   25.0,   5.42,
0570200417, 092394, 080414,   35.0,   5.58,
0570200416, 092394, 080328,   44.6,   6.34,
0570200415, 092394, 080222,   59.9,   5.50,
0570200414, 092394, 080124,   75.2,   6.00,
0570200413, 092394, 080023,   84.9,   5.47,
0570200412, 092394, 075920,   95.1,   5.67,
0570200411, 092394, 075819,  105.2,   5.06,
0570200410, 092394, 075725,  115.6,   5.16,
0570200409, 092394, 075629,  124.1,   4.71,
0570200408, 092394, 075530,  135.5,   4.39,
0570200407, 092394, 075420,  149.6,   4.06,
0570200405, 092394, 075144,  174.4,   3.76,
