botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0660200324, 092795, 010737,    4.4,   40.0,
0660200323, 092795, 010621,   27.4,   38.1,
0660200322, 092795, 010525,   42.5,   37.1,
0660200321, 092795, 010436,   49.0,   16.6,
0660200320, 092795, 010314,   70.2,   46.9,
0660200319, 092795, 010130,   87.6,   46.9,
0660200318, 092795, 010003,  110.5,  169.9,
0660200317, 092795, 005740,  196.6,  367.3,
0660200424, 092795, 041116,    4.8,   52.7,
0660200423, 092795, 040958,   14.7,   44.9,
0660200422, 092795, 040904,   24.5,   44.0,
0660200421, 092795, 040807,   44.3,   41.0,
0660200420, 092795, 040706,   73.9,   26.4,
0660200419, 092795, 040601,   99.5,   47.8,
0660200418, 092795, 040455,  124.8,   73.2,
0660200417, 092795, 040311,  173.6,  189.5,
0660200522, 092795, 070151,    5.0,   50.8,
0660200521, 092795, 070049,   14.1,   72.3,
0660200519, 092795, 065939,   24.8,   71.3,
0660200518, 092795, 065849,   35.0,   45.9,
0660200517, 092795, 065800,   45.5,   40.0,
0660200516, 092795, 065649,   60.4,   39.1,
0660200515, 092795, 065545,   74.5,   27.3,
0660200512, 092795, 065311,  104.1,   52.7,
0660200510, 092795, 065114,  124.0,  104.5,
0660200506, 092795, 064703,  174.4,  191.4,
0660200614, 092795, 100025,    5.2,   64.5,
0660200613, 092795, 095924,   14.9,   60.6,
0660200612, 092795, 095832,   24.5,   52.7,
0660200611, 092795, 095718,   44.9,   35.2,
0660200610, 092795, 095549,   74.7,   43.0,
0660200609, 092795, 095432,  100.2,   92.8,
0660200608, 092795, 095251,  125.6,  231.5,
0660200607, 092795, 095136,  150.1,  208.0,
0660200716, 092795, 133012,    2.5,   60.6,
0660200715, 092795, 132913,    9.9,   52.7,
0660200713, 092795, 132733,   19.7,   52.7,
0660200712, 092795, 132629,   29.7,   45.9,
0660200711, 092795, 132527,   38.8,   41.0,
0660200710, 092795, 132425,   48.8,   38.1,
0660200709, 092795, 132324,   59.7,   51.8,
0660200708, 092795, 132218,   69.5,   63.5,
0660200707, 092795, 132113,   80.1,   61.5,
0660200706, 092795, 132006,   89.4,   64.4,
0660200705, 092795, 131822,  123.8,  220.7,
0660200704, 092795, 131701,  149.8,  231.5,
0660200824, 092795, 162928,    4.3,   71.3,
0660200822, 092795, 162738,   13.8,   68.4,
0660200820, 092795, 162558,   24.3,   72.3,
0660200816, 092795, 162241,   44.8,   67.4,
0660200812, 092795, 161848,   75.8,   49.8,
0660200809, 092795, 161541,  105.0,   94.7,
0660200807, 092795, 161354,  125.6,  109.4,
0660200806, 092795, 161245,  150.7,  203.1,
0660200923, 092795, 190700,    4.4,   76.2,
0660200921, 092795, 190453,   25.2,   74.2,
0660200920, 092795, 190335,   44.3,   62.5,
0660200919, 092795, 190202,   75.2,   48.8,
0660200915, 092795, 185846,   99.2,   73.2,
0660200912, 092795, 185527,  124.4,   83.0,
0660200908, 092795, 185201,  149.2,  172.9,
0660200905, 092795, 184839,  175.8,  242.2,
0660201020, 092795, 215206,    4.2,   66.4,
0660201018, 092795, 215045,   24.8,   50.8,
0660201017, 092795, 214934,   45.2,   45.9,
0660201016, 092795, 214817,   74.0,   47.8,
0660201014, 092795, 214644,  100.0,   63.5,
0660201013, 092795, 214525,  124.6,  132.8,
0660201011, 092795, 214356,  149.4,  221.7,
0660201009, 092795, 214231,  174.5,  247.1,
0660201124, 092895, 011258,    4.2,   57.6,
0660201122, 092895, 011118,   14.6,   59.6,
0660201120, 092895, 010920,   24.7,   61.5,
0660201116, 092895, 010541,   44.3,   43.9,
0660201112, 092895, 010134,   75.0,   73.2,
0660201109, 092895, 005815,  104.5,  161.1,
0660201107, 092895, 005602,  124.1,  204.1,
0660201218, 092895, 040350,    5.2,   66.4,
0660201216, 092895, 040058,   24.3,   50.8,
0660201215, 092895, 035944,   43.3,   44.0,
0660201214, 092895, 035820,   73.8,   46.9,
0660201213, 092895, 035653,   98.8,   64.5,
0660201212, 092895, 035530,  125.4,  149.4,
0660201211, 092895, 035409,  150.9,  218.8,
0660201210, 092895, 035245,  174.3,  208.0,
0660201418, 092895, 100216,    4.9,   54.7,
0660201416, 092895, 100010,   24.8,   44.0,
0660201414, 092895, 095806,   44.2,   48.8,
0660201411, 092895, 095526,   74.6,   49.8,
0660201409, 092895, 095332,   99.3,   70.3,
0660201407, 092895, 095125,  124.9,  193.4,
0660201406, 092895, 095009,  149.7,  206.1,
0660201405, 092895, 094839,  174.3,  240.3,
0670200316, 102695, 205029,    5.1,   47.9,
0670200315, 102695, 204918,   25.0,   89.8,
0670200314, 102695, 204814,   44.7,   51.8,
0670200313, 102695, 204657,   75.3,   60.5,
0670200311, 102695, 204448,   99.5,  106.4,
0670200308, 102695, 204152,  124.5,  144.5,
0670200307, 102695, 204041,  149.3,  142.6,
0670200306, 102695, 203931,  174.5,  384.8,
0670200416, 102695, 235552,    4.6,   25.4,
0670200415, 102695, 235426,   24.5,   37.1,
0670200414, 102695, 235303,   44.8,   28.3,
0670200413, 102695, 235115,   75.4,   30.3,
0670200411, 102695, 234855,   99.4,   93.7,
0670200408, 102695, 234533,  124.4,  135.7,
0670200407, 102695, 234416,  149.6,  282.2,
0670200406, 102695, 234256,  174.7,  495.2,
0670200524, 102795, 030925,    4.4,   60.5,
0670200523, 102795, 030814,   24.9,   51.8,
0670200522, 102795, 030708,   44.7,   48.8,
0670200521, 102795, 030544,   74.8,   42.0,
0670200520, 102795, 030433,  100.3,   87.9,
0670200519, 102795, 030326,  123.7,   70.3,
0670200517, 102795, 030126,  150.7,  168.9,
0670200516, 102795, 025941,  174.8,  176.8,
0670200622, 102795, 060603,    4.6,   33.2,
0670200620, 102795, 060458,   13.6,   24.4,
0670200618, 102795, 060354,   24.4,   22.5,
0670200617, 102795, 060244,   44.3,   19.5,
0670200616, 102795, 060053,   59.4,   26.4,
0670200614, 102795, 055845,   84.9,   40.0,
0670200612, 102795, 055651,  104.1,   35.2,
0670200610, 102795, 055453,  124.8,   80.1,
0670200608, 102795, 055252,  149.1,   78.1,
0670200606, 102795, 055045,  174.3,  153.3,
0670200604, 102795, 054849,  199.6,  427.8,
0670200717, 102795, 091016,    9.9,   20.5,
0670200715, 102795, 090800,   19.8,   10.7,
0670200713, 102795, 090534,   39.5,    5.9,
0670200710, 102795, 090214,   69.7,    7.8,
0670200707, 102795, 085906,   99.8,   60.5,
0670200706, 102795, 085806,  110.0,   55.7,
0670200705, 102795, 085618,  140.1,  109.4,
0670200704, 102795, 085444,  174.5,  214.9,
0670200811, 102795, 120303,    4.8,   22.5,
0670200810, 102795, 120133,   24.5,    4.9,
0670200809, 102795, 115956,   45.2,   20.5,
0670200807, 102795, 115613,  100.5,   45.9,
0670200806, 102795, 115424,  124.6,   99.6,
0670200805, 102795, 115239,  150.3,  113.3,
0670200804, 102795, 115040,  175.7,  145.5,
0670200920, 102795, 145421,    4.8,   33.2,
0670200918, 102795, 145237,   25.0,   35.2,
0670200917, 102795, 145127,   44.6,   32.2,
0670200916, 102795, 145014,   74.1,   38.1,
0670200914, 102795, 144820,   99.8,   38.1,
0670200913, 102795, 144714,  119.9,   64.5,
0670200910, 102795, 144442,  149.5,  179.7,
0670200908, 102795, 144256,  169.8,  143.6,
0670201014, 102795, 174816,    5.3,   32.2,
